"RequestorODS","RequestTime","ConversationID","RequestErrorDescription","attachment_size_mb","attachment_limit_mb"
"A83047","2020-02-05T10:39:49","D5C6D1A0-4803-11EA-8EAD-89D71DF66240","Attachment size : 135957400 is larger than TPP limit : 104857600","129","100"
"A83618","2020-02-07T10:59:15","E1FC5AD0-4998-11EA-95FE-75D56070CAB0","Attachment size : 195223672 is larger than TPP limit : 104857600","186","100"
"A86010","2020-02-06T12:00:28","44CD4320-48D8-11EA-9E3E-2961FF2D25D3","Attachment size : 270565008 is larger than TPP limit : 104857600","258","100"
"D82041","2020-02-06T14:19:30","B107E320-48EB-11EA-95C4-1FD2F56FC369","Attachment size : 112054668 is larger than TPP limit : 104857600","106","100"
"D81008","2020-02-05T08:54:23","227DA280-47F5-11EA-B99D-A5082D25746B","Attachment size : 128292024 is larger than TPP limit : 104857600","122","100"
"C86016","2020-02-03T13:32:38","A4C74C90-4689-11EA-B883-B7D75537BF98","Attachment size : 105376484 is larger than TPP limit : 104857600","100","100"
"D81044","2020-02-05T13:38:45","D4252630-481C-11EA-A7AE-DF6C3FDB2FC8","Attachment size : 114669292 is larger than TPP limit : 104857600","109","100"
"E87047","2020-02-05T09:28:47","EA9E67A0-47F9-11EA-82EC-9FDF92EBCC7D","Attachment size : 124139484 is larger than TPP limit : 104857600","118","100"
"J83018","2020-02-03T14:23:34","C3B55FA0-4690-11EA-B244-41E020FB90D0","Attachment size : 116348972 is larger than TPP limit : 104857600","110","100"
"K84012","2020-02-06T14:44:21","2A07F690-48EF-11EA-88BE-61D06D0BBCA2","Attachment size : 125093772 is larger than TPP limit : 104857600","119","100"
"F81707","2020-02-03T11:10:10","BE75CA90-4675-11EA-8FDF-9150C9BC8532","Attachment size : 112255520 is larger than TPP limit : 104857600","107","100"
"G81090","2020-02-03T14:49:45","6B31C770-4694-11EA-94D9-951E4EB98706","Attachment size : 402676648 is larger than TPP limit : 104857600","384","100"
"E87046","2020-02-05T15:21:02","1F3B1220-482B-11EA-A6CF-95F345734C1D","Attachment size : 135518252 is larger than TPP limit : 104857600","129","100"
"A81610","2020-02-12T09:11:19","A1E4B9F0-4D77-11EA-A2DC-7B28DADE909B","Attachment size : 83044860 is larger than TPP limit : 62914560","79","60"
"A84008","2020-02-14T12:42:19","70CA81E0-4F27-11EA-91F7-71BA37C6F790","Attachment size : 65229768 is larger than TPP limit : 62914560","62","60"
"B81017","2020-02-12T08:28:10","9ACD9930-4D71-11EA-ACD3-6146F0BFEF22","Attachment size : 119868188 is larger than TPP limit : 62914560","114","60"
"B83055","2020-02-12T10:15:20","93BCD480-4D80-11EA-972E-F51B87E3D45D","Attachment size : 69618784 is larger than TPP limit : 62914560","66","60"
"B84021","2020-02-12T11:22:00","E3BCC900-4D89-11EA-8EB1-43391D22805F","Attachment size : 65458908 is larger than TPP limit : 62914560","62","60"
"B82005","2020-02-12T10:06:39","5D86EB90-4D7F-11EA-A141-A1B04472F0FF","Attachment size : 122722052 is larger than TPP limit : 62914560","117","60"
"A83040","2020-02-13T15:17:47","FDEC0350-4E73-11EA-97EB-538EE687099E","Attachment size : 62957196 is larger than TPP limit : 62914560","60","60"
"B81047","2020-02-11T10:12:12","F9515FC0-4CB6-11EA-9375-636AE5C92A95","Attachment size : 64103228 is larger than TPP limit : 62914560","61","60"
"B82032","2020-02-12T12:04:57","E399A1E0-4D8F-11EA-9D33-1B4686AC8724","Attachment size : 64107936 is larger than TPP limit : 62914560","61","60"
"C81045","2020-02-12T09:51:32","40246840-4D7D-11EA-97C7-27C9D88416A5","Attachment size : 72971372 is larger than TPP limit : 62914560","69","60"
"C81047","2020-02-11T09:25:30","72FFC020-4CB0-11EA-9D0A-353910700454","Attachment size : 93820332 is larger than TPP limit : 62914560","89","60"
"C81042","2020-02-14T14:55:58","1D36F5A0-4F3A-11EA-A907-7F2421FA43AD","Attachment size : 72971372 is larger than TPP limit : 62914560","69","60"
"C81020","2020-02-14T16:15:03","294B2630-4F45-11EA-B7B2-E9241BEE381F","Attachment size : 87327976 is larger than TPP limit : 62914560","83","60"
"A87023","2020-02-12T11:27:51","B4985850-4D8A-11EA-A95E-F15A364347E3","Attachment size : 64286688 is larger than TPP limit : 62914560","61","60"
"C82073","2020-02-10T16:31:40","D1A211C0-4C22-11EA-BAB0-BDB269768D03","Attachment size : 114669292 is larger than TPP limit : 104857600","109","100"
"C82073","2020-02-11T10:00:17","4F6A9CC0-4CB5-11EA-B762-794F4C11EA70","Attachment size : 72971372 is larger than TPP limit : 62914560","69","60"
"C83082","2020-02-13T08:53:38","548FA3A0-4E3E-11EA-9D0E-817759950E30","Attachment size : 98204104 is larger than TPP limit : 62914560","93","60"
"C83025","2020-02-11T08:08:21","ABD80FC0-4CA5-11EA-A055-C18B82A66834","Attachment size : 69833700 is larger than TPP limit : 62914560","66","60"
"C84001","2020-02-13T12:15:19","800CD810-4E5A-11EA-BCA3-51D453FAAAA8","Attachment size : 65604444 is larger than TPP limit : 62914560","62","60"
"C84151","2020-02-13T15:14:38","8B80EFB0-4E73-11EA-9EF9-FF281CC0FAAA","Attachment size : 104244812 is larger than TPP limit : 62914560","99","60"
"C82088","2020-02-12T14:18:13","81B11BD0-4DA2-11EA-A1F7-3D70422B4B56","Attachment size : 95725824 is larger than TPP limit : 62914560","91","60"
"C83042","2020-02-10T10:59:29","6A2DA0A0-4BF4-11EA-96D0-CDB4CA63147F","Attachment size : 111016732 is larger than TPP limit : 104857600","105","100"
"D82045","2020-02-14T12:01:18","B6439960-4F21-11EA-ADA3-8DBFAF606E93","Attachment size : 84173368 is larger than TPP limit : 62914560","80","60"
"D83011","2020-02-12T17:41:05","D852EE20-4DBE-11EA-87DC-612510188017","Attachment size : 83395852 is larger than TPP limit : 62914560","79","60"
"C88007","2020-02-12T10:24:29","DAC07F70-4D81-11EA-B266-53D0416B9876","Attachment size : 72971372 is larger than TPP limit : 62914560","69","60"
"E81013","2020-02-13T16:05:16","9FCD25E0-4E7A-11EA-88B1-07FAC697C608","Attachment size : 104244812 is larger than TPP limit : 62914560","99","60"
"D81631","2020-02-11T12:54:54","B42F3220-4CCD-11EA-9FCF-014E21B63FA1","Attachment size : 73890532 is larger than TPP limit : 62914560","70","60"
"D81043","2020-02-10T19:47:56","3BD80E80-4C3E-11EA-9B6C-0539481154D7","Attachment size : 70936372 is larger than TPP limit : 62914560","67","60"
"E81615","2020-02-10T18:20:04","F5FD0610-4C31-11EA-944E-1712C4FB727D","Attachment size : 72121428 is larger than TPP limit : 62914560","68","60"
"F81041","2020-02-12T13:20:26","6F180950-4D9A-11EA-BDAA-F9D11085B24D","Attachment size : 82859560 is larger than TPP limit : 62914560","79","60"
"E85049","2020-02-13T14:33:04","BFD91C20-4E6D-11EA-A359-23543FA00CD2","Attachment size : 84236688 is larger than TPP limit : 62914560","80","60"
"E85748","2020-02-11T12:25:19","91AAAA80-4CC9-11EA-BAEE-8D011ADB98C0","Attachment size : 93758892 is larger than TPP limit : 62914560","89","60"
"E82041","2020-02-11T11:08:38","DB4682F0-4CBE-11EA-9669-210C512961C1","Attachment size : 93820332 is larger than TPP limit : 62914560","89","60"
"E85124","2020-02-11T12:03:37","8C823300-4CC6-11EA-A109-ABB9B0E486B7","Attachment size : 119097956 is larger than TPP limit : 62914560","113","60"
"E85124","2020-02-13T12:50:02","611A13A0-4E5F-11EA-9CC3-AB398089BF47","Attachment size : 77429612 is larger than TPP limit : 62914560","73","60"
"J81013","2020-02-14T12:45:42","E8826540-4F27-11EA-9211-0D1F4ED5E33D","Attachment size : 104237344 is larger than TPP limit : 62914560","99","60"
"H82033","2020-02-12T15:22:09","70B5CB10-4DAB-11EA-8DE3-9F36CBAAAFB2","Attachment size : 93820332 is larger than TPP limit : 62914560","89","60"
"J81634","2020-02-12T11:44:26","060CA180-4D8D-11EA-A654-51A3047A9A84","Attachment size : 114669292 is larger than TPP limit : 62914560","109","60"
"J82028","2020-02-13T16:07:14","E590A520-4E7A-11EA-AB81-D58519994F80","Attachment size : 76905060 is larger than TPP limit : 62914560","73","60"
"E85127","2020-02-13T14:57:10","1CB44A70-4E71-11EA-BCAE-23E1C0D825D3","Attachment size : 88252332 is larger than TPP limit : 62914560","84","60"
"H82066","2020-02-14T10:23:30","C40A8C60-4F13-11EA-AF99-9BA3A77E38B1","Attachment size : 63139328 is larger than TPP limit : 62914560","60","60"
"H82066","2020-02-14T10:50:38","8F409D40-4F17-11EA-AF99-9BA3A77E38B1","Attachment size : 77394680 is larger than TPP limit : 62914560","73","60"
"G81689","2020-02-14T14:58:02","66F6A8C0-4F3A-11EA-85BA-25FC5E804F04","Attachment size : 63439040 is larger than TPP limit : 62914560","60","60"
"J81041","2020-02-13T09:46:21","B1905E80-4E45-11EA-AEDC-13208DA69CA0","Attachment size : 72211052 is larger than TPP limit : 62914560","68","60"
"H82012","2020-02-12T12:13:20","0E27FDC0-4D91-11EA-9CB1-8D2C35551AE8","Attachment size : 89486136 is larger than TPP limit : 62914560","85","60"
"H82012","2020-02-12T12:28:06","1F97BA30-4D93-11EA-9CB1-8D2C35551AE8","Attachment size : 64107936 is larger than TPP limit : 62914560","61","60"
"H81072","2020-02-11T12:15:35","354843C0-4CC8-11EA-B487-FF4F7FA4EF29","Attachment size : 66925860 is larger than TPP limit : 62914560","63","60"
"K82009","2020-02-12T09:27:20","DE64A1E0-4D79-11EA-A833-CD142EC3108E","Attachment size : 72351588 is larger than TPP limit : 62914560","68","60"
"F86025","2020-02-13T15:23:15","92A17890-4E74-11EA-A16B-B154F5872500","Attachment size : 114669292 is larger than TPP limit : 62914560","109","60"
"K83026","2020-02-14T12:27:00","4D71A860-4F25-11EA-B239-A95709A76F2D","Attachment size : 114883384 is larger than TPP limit : 62914560","109","60"
"J82208","2020-02-11T11:54:25","3FCF25F0-4CC5-11EA-9FFE-8500E7C8EA1C","Attachment size : 65134720 is larger than TPP limit : 62914560","62","60"
"J83008","2020-02-14T10:21:08","B7EEE0C0-4F13-11EA-9B2A-6F40718A02CA","Attachment size : 73890532 is larger than TPP limit : 62914560","70","60"
"M85029","2020-02-12T08:39:47","E9D3C890-4D73-11EA-8CD5-A168DF4FAADF","Attachment size : 72998848 is larger than TPP limit : 62914560","69","60"
"M88004","2020-02-13T09:54:14","CB49CC70-4E46-11EA-993C-27F2CB7756DE","Attachment size : 66279304 is larger than TPP limit : 62914560","63","60"
"M85002","2020-02-11T12:43:31","1D25B030-4CCC-11EA-8519-03704B45DADA","Attachment size : 83395852 is larger than TPP limit : 62914560","79","60"
"L83127","2020-02-08T11:37:28","6265D830-4A67-11EA-B8B8-4594390924AD","Attachment size : 125278092 is larger than TPP limit : 104857600","119","100"
"Y01011","2020-02-12T15:39:11","D05F2A00-4DAD-11EA-A6C4-C1F80ECA864C","Attachment size : 146182312 is larger than TPP limit : 62914560","139","60"
"Y02002","2020-02-14T08:55:33","C1BBD7E0-4F07-11EA-BAAE-6BC931C864DF","Attachment size : 71181932 is larger than TPP limit : 62914560","67","60"
"A81631","2020-02-17T16:24:20","F4742BA0-51A1-11EA-9C93-D9E005124811","Attachment size : 140895164 is larger than TPP limit : 62914560","134","60"
"M83723","2020-02-10T17:50:14","CB845C70-4C2D-11EA-82EE-4DCD440EE9DC","Attachment size : 68007140 is larger than TPP limit : 62914560","64","60"
"Y04957","2020-02-11T10:55:13","EDB8B810-4CBC-11EA-9C1C-C53A52042928","Attachment size : 159988000 is larger than TPP limit : 62914560","152","60"
"A86010","2020-02-17T16:07:14","90B14CD0-519F-11EA-9A6F-7F0094DB96CC","Attachment size : 78403424 is larger than TPP limit : 62914560","74","60"
"A84022","2020-02-17T12:13:16","E165DD60-517E-11EA-A0C7-E1A7E520467D","Attachment size : 81690112 is larger than TPP limit : 62914560","77","60"
"A81042","2020-02-18T14:33:05","936F54F0-525B-11EA-B387-DB80BC41265C","Attachment size : 69881504 is larger than TPP limit : 62914560","66","60"
"A83030","2020-02-17T11:21:09","98EA4730-5177-11EA-B330-E15C534022F9","Attachment size : 88736172 is larger than TPP limit : 62914560","84","60"
"A83641","2020-02-18T12:46:42","B6BE0500-524C-11EA-98C3-15E2BA2EC513","Attachment size : 68300740 is larger than TPP limit : 62914560","65","60"
"Y06007","2020-02-11T09:06:46","D49C07B0-4CAD-11EA-9F6F-578E19F889AF","Attachment size : 93169016 is larger than TPP limit : 62914560","88","60"
"Y03441","2020-02-13T13:57:22","C1ADF570-4E68-11EA-887A-6F6F08B8643C","Attachment size : 80223192 is larger than TPP limit : 62914560","76","60"
"A81046","2020-02-20T14:06:11","27246250-53EA-11EA-830F-4166F447D863","Attachment size : 68116412 is larger than TPP limit : 62914560","64","60"
"B82005","2020-02-18T10:46:07","DD48B820-523B-11EA-89F7-F5F6A71FDE8F","Attachment size : 104691752 is larger than TPP limit : 62914560","99","60"
"B82016","2020-02-21T12:40:13","4E2D3A80-54A7-11EA-AD42-110A27EB6E83","Attachment size : 73247852 is larger than TPP limit : 62914560","69","60"
"A83031","2020-02-20T12:51:23","B4099240-53DF-11EA-AEB1-C1B56E2E3051","Attachment size : 85255092 is larger than TPP limit : 62914560","81","60"
"A87022","2020-02-19T12:41:37","2B802B20-5315-11EA-8FD3-69F2F2530E0D","Attachment size : 73578092 is larger than TPP limit : 62914560","70","60"
"B82054","2020-02-19T14:09:05","6312BCE0-5321-11EA-AB7B-BB7E2C2DC755","Attachment size : 64103228 is larger than TPP limit : 62914560","61","60"
"A81017","2020-02-21T10:54:08","7CEE5DE0-5498-11EA-A37A-07EF54F8F960","Attachment size : 91703028 is larger than TPP limit : 62914560","87","60"
