Signature,Month,count,IntegratedCount,SuppressedCount
"0-xx",05,10708,0,0
"0-xx",06,9674,0,0
"0-xx",07,10567,0,0
"0-xx",08,12128,0,0
"1-0",05,25918,25918,0
"1-0",06,26324,26324,0
"1-0",07,31516,31516,0
"1-0",08,29677,29677,0
"1-00",05,103488,103488,0
"1-00",06,101150,101150,0
"1-00",07,121522,121522,0
"1-00",08,117369,117369,0
"1-00,2-17,x-xx",07,1,1,0
"1-00,2-28",06,1,1,0
"1-00,2-28",07,1,1,0
"1-00,2-28",08,1,1,0
"1-00,2-28,x-xx",05,3,3,0
"1-00,2-28,x-xx",06,1,1,0
"1-00,3-12",05,444,444,0
"1-00,3-12",06,416,416,0
"1-00,3-12",07,537,537,0
"1-00,3-12",08,613,613,0
"1-00,3-12,x-xx",05,264,264,0
"1-00,3-12,x-xx",06,267,267,0
"1-00,3-12,x-xx",07,239,239,0
"1-00,3-12,x-xx",08,186,186,0
"1-00,6-25,x-xx",05,1,1,0
"1-00,6-31",07,1,1,0
"1-00,6-31",08,1,1,0
"1-00,6-31,x-xx",06,1,1,0
"1-00,7-11",05,3,3,0
"1-00,7-11",06,6,6,0
"1-00,7-11",07,7,7,0
"1-00,7-11",08,6,6,0
"1-00,7-11,x-xx",05,2,2,0
"1-00,7-11,x-xx",06,2,2,0
"1-00,7-11,x-xx",07,1,1,0
"1-00,7-11,x-xx",08,1,1,0
"1-00,x-xx",05,27310,27310,0
"1-00,x-xx",06,24326,24326,0
"1-00,x-xx",07,24874,24874,0
"1-00,x-xx",08,29282,29282,0
"1-30",05,352,0,0
"1-30",06,348,0,0
"1-30",07,413,0,0
"1-30",08,444,0,0
"2-17",05,60,0,0
"2-17",06,62,0,0
"2-17",07,104,0,0
"2-17",08,65,0,0
"2-17,2-28",06,1,0,0
"2-17,3-12",05,1,0,0
"2-17,3-12",07,3,0,0
"2-17,3-12,5-15",07,1,0,1
"2-17,3-12,7-11",05,2,0,0
"2-17,3-12,x-xx",05,2,0,0
"2-17,3-12,x-xx",06,1,0,0
"2-17,3-12,x-xx",07,2,0,0
"2-17,5-15",05,1,0,1
"2-17,5-15",06,2,0,2
"2-17,7-11",05,2,0,0
"2-17,7-11",06,2,0,0
"2-17,7-11",07,1,0,0
"2-17,7-11",08,1,0,0
"2-17,7-11,x-xx",06,1,0,0
"2-17,7-11,x-xx",07,1,0,0
"2-17,7-11,x-xx",08,1,0,0
"2-17,x-xx",05,42,0,0
"2-17,x-xx",06,51,0,0
"2-17,x-xx",07,45,0,0
"2-17,x-xx",08,32,0,0
"2-20",06,1,0,0
"2-20",08,1,0,0
"2-21",05,56,0,0
"2-21",06,47,0,0
"2-21",07,39,0,0
"2-21",08,40,0,0
"2-21,x-xx",05,1,0,0
"2-21,x-xx",06,1,0,0
"2-21,x-xx",08,1,0,0
"2-28",05,84,0,0
"2-28",06,86,0,0
"2-28",07,82,0,0
"2-28",08,66,0,0
"2-28,3-12",05,1,0,0
"2-28,3-12",06,2,0,0
"2-28,3-12,7-11,x-xx",06,1,0,0
"2-28,3-12,x-xx",05,2,0,0
"2-28,3-12,x-xx",07,1,0,0
"2-28,5-15",07,1,0,1
"2-28,7-11",06,2,0,0
"2-28,7-11",07,1,0,0
"2-28,7-11",08,11,0,0
"2-28,7-11,x-xx",05,2,0,0
"2-28,7-11,x-xx",06,3,0,0
"2-28,7-11,x-xx",07,1,0,0
"2-28,7-11,x-xx",08,4,0,0
"2-28,x-xx",05,14,0,0
"2-28,x-xx",06,17,0,0
"2-28,x-xx",07,10,0,0
"2-28,x-xx",08,15,0,0
"3-12",05,448,0,0
"3-12",06,516,0,0
"3-12",07,584,0,0
"3-12",08,504,0,0
"3-12,5-15",05,43,0,43
"3-12,5-15",06,52,0,52
"3-12,5-15",07,46,0,46
"3-12,5-15",08,50,0,50
"3-12,5-15,7-11",06,1,0,1
"3-12,5-15,7-11",07,2,0,2
"3-12,5-15,x-xx",05,32,0,32
