RequestorODS,Month,RegistrationCount,RequestCount,IntegratedCount,SuppressedCount,SuccessRate
A81001,05,32,7,0,0,0
A81001,06,31,5,5,0,1
A81001,07,42,8,5,0,"0.625"
A81001,08,31,6,2,0,"0.3333333333333333"
A81002,05,38,5,0,0,0
A81002,06,67,13,0,0,0
A81002,07,60,9,2,0,"0.2222222222222222"
A81002,08,47,8,8,0,1
A81004,05,77,8,8,0,1
A81004,06,72,15,1,0,"0.06666666666666667"
A81004,07,92,9,8,0,"0.8888888888888888"
A81004,08,92,15,6,0,"0.4"
A81005,05,27,7,5,0,"0.7142857142857143"
A81005,06,38,12,12,0,1
A81005,07,48,17,17,0,1
A81005,08,38,4,4,0,1
A81006,05,68,7,6,0,"0.8571428571428571"
A81006,06,66,5,4,0,"0.8"
A81006,07,95,7,5,0,"0.7142857142857143"
A81006,08,78,8,4,0,"0.5"
A81007,05,32,14,9,2,"0.7857142857142857"
A81007,06,58,33,22,8,"0.9090909090909091"
A81007,07,57,29,18,6,"0.8275862068965517"
A81007,08,27,20,18,2,1
A81009,05,30,10,1,0,"0.1"
A81009,06,39,8,3,0,"0.375"
A81009,07,24,2,1,0,"0.5"
A81009,08,34,2,1,0,"0.5"
A81011,05,50,8,5,0,"0.625"
A81011,06,29,7,7,0,1
A81011,07,40,13,13,0,1
A81011,08,46,10,9,0,"0.9"
A81012,05,21,,0,0,
A81012,06,20,2,1,0,"0.5"
A81012,07,29,1,0,0,0
A81012,08,33,3,2,0,"0.6666666666666666"
A81013,05,57,11,11,0,1
A81013,06,26,10,10,0,1
A81013,07,53,11,10,0,"0.9090909090909091"
A81013,08,53,16,15,0,"0.9375"
A81014,05,22,4,4,0,1
A81014,06,16,1,1,0,1
A81014,07,36,4,4,0,1
A81014,08,26,4,4,0,1
A81016,05,61,7,7,0,1
A81016,06,37,9,9,0,1
A81016,07,137,12,12,0,1
A81016,08,63,14,12,0,"0.8571428571428571"
A81017,05,82,19,11,0,"0.5789473684210527"
A81017,06,48,13,12,0,"0.9230769230769231"
A81017,07,79,14,14,0,1
A81017,08,82,20,17,0,"0.85"
A81018,05,52,11,10,0,"0.9090909090909091"
A81018,06,41,7,6,0,"0.8571428571428571"
A81018,07,67,12,12,0,1
A81018,08,62,14,13,0,"0.9285714285714286"
A81019,05,5,,0,0,
A81019,06,8,2,0,0,0
A81019,07,13,1,1,0,1
A81019,08,6,,0,0,
A81020,05,63,21,15,0,"0.7142857142857143"
A81020,06,44,15,11,0,"0.7333333333333333"
A81020,07,54,12,11,0,"0.9166666666666666"
A81020,08,85,26,15,0,"0.5769230769230769"
A81021,05,52,28,24,2,"0.9285714285714286"
A81021,06,56,30,24,5,"0.9666666666666667"
A81021,07,70,43,29,7,"0.8372093023255814"
A81021,08,69,37,29,5,"0.918918918918919"
A81022,05,33,6,2,0,"0.3333333333333333"
A81022,06,42,7,7,0,1
A81022,07,41,13,13,0,1
A81022,08,54,14,10,0,"0.7142857142857143"
A81023,05,26,2,2,0,1
A81023,06,26,3,0,0,0
A81023,07,14,1,0,0,0
A81023,08,63,9,1,0,"0.1111111111111111"
A81025,05,19,8,7,0,"0.875"
A81025,06,35,6,3,0,"0.5"
A81025,07,30,4,4,0,1
A81025,08,33,10,10,0,1
A81026,05,90,23,14,0,"0.6086956521739131"
A81026,06,109,11,11,0,1
A81026,07,128,28,22,0,"0.7857142857142857"
A81026,08,141,21,12,0,"0.5714285714285714"
A81027,05,89,20,16,0,"0.8"
A81027,06,80,14,14,0,1
A81027,07,155,41,41,0,1
A81027,08,122,29,28,0,"0.9655172413793104"
A81029,05,44,3,2,0,"0.6666666666666666"
A81029,06,39,9,8,0,"0.8888888888888888"
A81029,07,43,7,7,0,1
