SenderODS,Month,RequestCount,IntegratedCount,SuppressedCount,SuccessRate
A81001,05,12,12,0,1
A81001,06,10,10,0,1
A81001,07,8,7,1,1
A81001,08,3,1,1,"0.6666666666666666"
A81002,05,8,7,1,1
A81002,06,16,15,0,"0.9375"
A81002,07,9,8,1,1
A81002,08,19,19,0,1
A81004,05,7,6,1,1
A81004,06,8,7,1,1
A81004,07,9,8,1,1
A81004,08,11,7,1,"0.7272727272727273"
A81005,05,6,5,1,1
A81005,07,5,5,0,1
A81005,08,2,2,0,1
A81006,05,12,11,1,1
A81006,06,10,8,2,1
A81006,07,7,6,0,"0.8571428571428571"
A81006,08,16,14,1,"0.9375"
A81007,05,25,21,0,"0.84"
A81007,06,37,31,0,"0.8378378378378378"
A81007,07,34,30,0,"0.8823529411764706"
A81007,08,51,41,2,"0.8431372549019608"
A81009,05,10,10,0,1
A81009,06,4,3,0,"0.75"
A81009,07,3,3,0,1
A81009,08,6,6,0,1
A81011,05,3,3,0,1
A81011,06,6,4,2,1
A81011,07,8,6,2,1
A81011,08,11,9,2,1
A81012,05,5,5,0,1
A81012,06,8,8,0,1
A81012,07,5,4,1,1
A81013,05,5,5,0,1
A81013,06,9,6,0,"0.6666666666666666"
A81013,07,7,3,2,"0.7142857142857143"
A81013,08,6,3,2,"0.8333333333333334"
A81014,06,4,2,2,1
A81014,07,3,3,0,1
A81014,08,8,8,0,1
A81016,05,8,7,0,"0.875"
A81016,06,11,10,0,"0.9090909090909091"
A81016,07,23,17,4,"0.9130434782608695"
A81016,08,13,11,2,1
A81017,05,15,10,2,"0.8"
A81017,06,12,10,0,"0.8333333333333334"
A81017,07,24,20,1,"0.875"
A81017,08,24,19,3,"0.9166666666666666"
A81018,05,4,4,0,1
A81018,06,9,8,1,1
A81018,07,5,3,2,1
A81018,08,2,2,0,1
A81019,05,3,3,0,1
A81019,06,3,3,0,1
A81019,07,19,16,1,"0.8947368421052632"
A81019,08,6,5,0,"0.8333333333333334"
A81020,05,21,17,1,"0.8571428571428571"
A81020,06,4,4,0,1
A81020,07,13,10,1,"0.8461538461538461"
A81020,08,12,11,0,"0.9166666666666666"
A81021,05,30,21,0,"0.7"
A81021,06,35,31,0,"0.8857142857142857"
A81021,07,48,42,1,"0.8958333333333334"
A81021,08,47,33,2,"0.7446808510638298"
A81022,05,3,1,1,"0.6666666666666666"
A81022,06,5,1,3,"0.8"
A81022,07,14,12,1,"0.9285714285714286"
A81022,08,7,7,0,1
A81023,05,8,5,2,"0.875"
A81023,06,5,5,0,1
A81023,07,12,9,3,1
A81023,08,7,5,2,1
A81025,05,3,3,0,1
A81025,06,7,7,0,1
A81025,07,5,4,1,1
A81025,08,1,0,0,0
A81026,05,27,20,5,"0.9259259259259259"
A81026,06,16,13,3,1
A81026,07,20,15,3,"0.9"
A81026,08,19,15,0,"0.7894736842105263"
A81027,05,12,12,0,1
A81027,06,18,16,0,"0.8888888888888888"
A81027,07,15,11,1,"0.8"
A81027,08,14,14,0,1
A81029,05,7,4,1,"0.7142857142857143"
A81029,06,8,6,1,"0.875"
A81029,07,15,11,3,"0.9333333333333333"
A81029,08,9,6,3,1
A81030,05,5,3,2,1
A81030,06,6,4,1,"0.8333333333333334"
A81030,07,10,7,1,"0.8"
A81030,08,7,6,0,"0.8571428571428571"
A81031,05,11,11,0,1
A81031,06,3,2,1,1
A81031,07,16,13,3,1
A81031,08,7,5,1,"0.8571428571428571"
A81032,05,10,8,0,"0.8"
A81032,06,6,5,0,"0.8333333333333334"
A81032,07,9,8,0,"0.8888888888888888"
A81032,08,7,6,1,1
A81034,05,14,11,1,"0.8571428571428571"
A81034,06,15,14,1,1
A81034,07,13,12,1,1
A81034,08,22,18,3,"0.9545454545454546"
A81035,05,22,16,0,"0.7272727272727273"
A81035,06,25,20,0,"0.8"
A81035,07,46,33,3,"0.782608695652174"
A81035,08,22,14,0,"0.6363636363636364"
A81036,05,17,12,0,"0.7058823529411765"
A81036,06,8,7,0,"0.875"
A81036,07,16,13,1,"0.875"
A81036,08,7,6,0,"0.8571428571428571"
A81037,05,4,4,0,1
A81037,06,8,4,4,1
A81037,07,9,8,1,1
A81037,08,8,8,0,1
A81038,05,1,1,0,1
A81038,06,3,3,0,1
A81038,07,1,1,0,1
A81038,08,2,2,0,1
A81039,05,27,23,1,"0.8888888888888888"
A81039,06,29,21,1,"0.7586206896551724"
A81039,07,40,40,0,1
A81039,08,26,18,0,"0.6923076923076923"
A81040,05,29,18,1,"0.6551724137931034"
A81040,06,25,16,0,"0.64"
A81040,07,32,19,1,"0.625"
A81040,08,16,8,1,"0.5625"
A81041,05,2,2,0,1
A81041,06,8,7,1,1
A81041,07,7,5,1,"0.8571428571428571"
A81041,08,2,2,0,1
A81042,05,3,3,0,1
A81042,06,11,7,4,1
A81042,07,14,11,2,"0.9285714285714286"
A81042,08,13,9,4,1
A81043,05,24,18,0,"0.75"
A81043,06,19,14,1,"0.7894736842105263"
A81043,07,27,15,1,"0.5925925925925926"
A81043,08,25,17,0,"0.68"
A81044,05,15,12,1,"0.8666666666666667"
A81044,06,10,8,0,"0.8"
A81044,07,15,9,5,"0.9333333333333333"
A81044,08,13,11,1,"0.9230769230769231"
A81045,05,8,7,1,1
A81045,06,6,5,0,"0.8333333333333334"
A81045,07,7,3,4,1
A81045,08,4,4,0,1
A81046,05,9,7,1,"0.8888888888888888"
A81046,06,9,7,1,"0.8888888888888888"
A81046,07,14,14,0,1
A81046,08,8,8,0,1
A81048,05,5,4,1,1
A81048,06,9,8,0,"0.8888888888888888"
A81048,07,13,11,0,"0.8461538461538461"
A81048,08,8,5,2,"0.875"
A81049,05,6,6,0,1
A81049,06,2,2,0,1
A81049,07,9,8,1,1
A81049,08,7,3,2,"0.7142857142857143"
A81051,05,19,16,0,"0.8421052631578947"
A81051,06,20,20,0,1
A81051,07,12,12,0,1
A81051,08,16,14,0,"0.875"
A81052,05,9,4,2,"0.6666666666666666"
A81052,06,6,6,0,1
A81052,07,9,8,1,1
A81052,08,6,5,1,1
A81053,05,24,15,0,"0.625"
A81053,06,23,17,2,"0.8260869565217391"
A81053,07,25,21,2,"0.92"
A81053,08,18,14,0,"0.7777777777777778"
A81054,05,3,3,0,1
A81054,06,4,4,0,1
A81054,07,7,5,1,"0.8571428571428571"
A81054,08,10,8,1,"0.9"
A81056,05,3,3,0,1
A81056,08,1,1,0,1
A81057,05,11,11,0,1
A81057,06,1,1,0,1
A81057,07,6,5,0,"0.8333333333333334"
A81057,08,3,3,0,1
A81058,05,36,25,1,"0.7222222222222222"
A81058,06,23,19,0,"0.8260869565217391"
A81058,07,26,21,0,"0.8076923076923077"
A81058,08,22,15,0,"0.6818181818181818"
A81060,05,3,2,1,1
A81060,06,1,1,0,1
A81060,07,2,2,0,1
A81060,08,2,2,0,1
A81063,05,2,1,0,"0.5"
A81063,06,3,3,0,1
A81063,07,3,2,1,1
A81063,08,2,2,0,1
A81064,05,14,10,3,"0.9285714285714286"
A81064,06,25,14,6,"0.8"
A81064,07,18,14,2,"0.8888888888888888"
A81064,08,14,11,3,1
A81065,05,6,2,4,1
A81065,06,6,5,1,1
A81065,07,7,7,0,1
A81065,08,7,4,0,"0.5714285714285714"
A81066,05,20,12,0,"0.6"
A81066,06,11,6,3,"0.8181818181818182"
A81066,07,15,14,0,"0.9333333333333333"
A81066,08,8,8,0,1
A81067,05,20,18,2,1
A81067,06,8,7,0,"0.875"
A81067,07,13,11,1,"0.9230769230769231"
A81067,08,7,6,1,1
A81070,05,3,3,0,1
A81070,06,12,12,0,1
A81070,07,12,12,0,1
A81070,08,5,2,2,"0.8"
A81602,08,3,3,0,1
A81608,05,2,1,0,"0.5"
A81608,06,9,9,0,1
A81608,07,9,8,1,1
A81608,08,12,11,1,1
A81610,05,18,17,0,"0.9444444444444444"
A81610,06,4,3,0,"0.75"
A81610,07,4,3,1,1
A81610,08,3,2,1,1
A81611,05,15,9,1,"0.6666666666666666"
A81611,06,35,22,1,"0.6571428571428571"
A81611,07,29,24,2,"0.896551724137931"
A81611,08,30,25,1,"0.8666666666666667"
A81612,05,1,1,0,1
A81612,06,1,1,0,1
A81612,07,1,1,0,1
A81612,08,5,3,1,"0.8"
A81618,05,30,23,0,"0.7666666666666667"
A81618,06,28,23,1,"0.8571428571428571"
A81618,07,24,16,0,"0.6666666666666666"
A81618,08,25,17,0,"0.68"
A81621,05,4,4,0,1
A81621,06,5,4,0,"0.8"
A81621,08,2,2,0,1
A81622,05,4,3,1,1
A81622,06,2,1,0,"0.5"
A81622,07,9,7,2,1
A81622,08,8,7,1,1
A81629,05,3,2,1,1
A81629,06,1,1,0,1
A81629,07,9,7,0,"0.7777777777777778"
A81629,08,4,2,2,1
A81630,06,3,1,1,"0.6666666666666666"
A81630,07,1,0,0,0
A81630,08,2,2,0,1
A81631,05,1,1,0,1
A81631,06,1,1,0,1
A81631,07,3,2,0,"0.6666666666666666"
A81631,08,2,2,0,1
A81633,05,18,17,0,"0.9444444444444444"
A81633,06,7,7,0,1
A81633,07,16,16,0,1
A81633,08,12,11,1,1
A81634,05,14,14,0,1
A81634,06,11,10,1,1
A81634,07,15,15,0,1
A81634,08,19,18,0,"0.9473684210526315"
A82003,05,18,13,0,"0.7222222222222222"
A82003,06,18,17,1,1
A82003,07,26,22,1,"0.8846153846153846"
A82003,08,19,17,2,1
A82004,05,9,8,0,"0.8888888888888888"
A82004,06,6,6,0,1
A82004,07,9,8,0,"0.8888888888888888"
A82004,08,7,6,0,"0.8571428571428571"
A82005,05,57,46,7,"0.9298245614035088"
A82005,06,41,32,4,"0.8780487804878049"
A82005,07,28,23,4,"0.9642857142857143"
A82005,08,29,19,5,"0.8275862068965517"
A82006,05,12,11,1,1
A82006,06,6,5,1,1
A82006,07,19,16,2,"0.9473684210526315"
A82006,08,10,10,0,1
A82007,05,18,16,1,"0.9444444444444444"
A82007,06,6,3,3,1
A82007,07,14,13,1,1
A82007,08,18,15,2,"0.9444444444444444"
A82008,05,29,27,0,"0.9310344827586207"
A82008,06,18,18,0,1
A82008,07,26,23,3,1
A82008,08,17,14,2,"0.9411764705882353"
A82009,05,12,11,1,1
A82009,06,10,9,1,1
