key,month,RequestorODS,"attachment_size_mb"
"2019-08-31T11:23:38-565335293109",08,E87024,"68.97568893432617"
"2019-08-31T14:36:02-557918326105",08,E87037,"108.47092819213867"
"2019-08-29T16:09:57-242182364560",08,J82194,"79.2321891784668"
"2019-08-30T12:44:09-575119348036",08,M88003,"63.20771408081055"
"2019-08-29T17:13:11-348588460561",08,L83035,"59.64936447143555"
"2019-08-29T12:44:16-901392531033",08,L81039,"79.97419357299805"
"2019-08-30T16:30:43-366755675035",08,Y05349,"54.61693477630615"
"2019-08-29T14:49:37-562019338109",08,M88004,"71.03379440307617"
"2019-08-30T10:55:42-565587781104",08,L83045,"89.83718872070312"
"2019-08-29T12:03:56-134803247045",08,L83045,"59.99360275268555"
"2019-08-29T10:21:42-838639565038",08,J82085,"53.46405792236328"
"2019-08-29T09:15:18-556448989108",08,G81100,"50.944671630859375"
"2019-08-30T11:30:25-942280339048",08,C87020,"69.86924362182617"
"2019-08-29T09:42:56-555504708107",08,F81099,"76.57566452026367"
"2019-08-30T11:30:06-567123583102",08,E85069,"56.49998092651367"
"2019-08-30T08:48:58-337332335567",08,C88020,"70.18630599975586"
"2019-08-30T11:44:06-558857977104",08,G81689,"61.32764434814453"
"2019-08-30T12:19:33-562449987106",08,D82007,"59.64794158935547"
"2019-08-30T11:25:39-556725032100",08,F81024,"62.876007080078125"
"2019-08-30T09:13:47-128616061049",08,C86017,"61.166542053222656"
"2019-08-30T13:59:29-563401636101",08,F81023,"59.648651123046875"
"2019-08-30T08:19:53-250086555043",08,B86089,"52.62762451171875"
"2019-08-30T11:29:32-511444812040",08,C82053,"69.88608169555664"
"2019-08-30T11:25:47-511444812040",08,C82053,"69.09287643432617"
"2019-08-30T11:19:18-511444812040",08,C82053,"89.1121597290039"
"2019-08-30T13:14:22-092612991049",08,B86042,"50.97489547729492"
"2019-08-30T09:44:05-612047163045",08,C84122,"68.6246109008789"
"2019-08-30T09:53:31-257098170042",08,B81042,"79.6496696472168"
"2019-08-30T15:07:42-238970535049",08,A81612,"58.180999755859375"
"2019-08-16T16:25:13-861624242561",08,Y02686,"99.92309951782227"
"2019-08-14T12:10:02-564698068104",08,Y00286,"71.38552856445312"
"2019-08-15T11:06:30-558678134104",08,M89003,"69.59092330932617"
"2019-08-12T13:27:33-283522150046",08,Y02526,"59.64936447143555"
"2019-08-15T09:11:56-560656283103",08,N81036,"50.1596794128418"
"2019-08-15T09:10:02-560656283103",08,N81036,"99.34939575195312"
"2019-08-13T13:20:48-566711606106",08,Y02747,"59.64936447143555"
"2019-08-13T15:02:06-557203823100",08,Y01011,"59.64936447143555"
"2019-08-15T16:55:25-312995552048",08,Y05349,"51.21186447143555"
"2019-08-14T07:46:13-565647822101",08,M89010,"64.85666275024414"
"2019-08-16T16:05:51-558617399106",08,Y01690,"59.64936447143555"
"2019-08-14T18:59:59-564856138104",08,Y02589,"69.59092330932617"
"2019-08-14T18:53:13-564856138104",08,Y02589,"69.59092330932617"
