RequestorODS,From,To,count
A81007,"2019-09-22","2019-09-28",7
A81040,"2019-06-30","2019-07-06",7
A81058,"2019-06-30","2019-07-06",7
A81063,"2019-04-06","2019-06-29",78
A81066,"2019-06-30","2019-07-06",7
A81602,"2019-04-13","2019-07-13",85
A81610,"2019-04-06","2019-07-06",92
A82009,"2019-04-21","2019-05-04",14
A82010,"2019-05-19","2019-06-01",14
A82015,"2019-07-28","2019-08-24",14
A82016,"2019-08-18","2019-08-24",7
A82019,"2019-04-01","2019-04-06",6
A82024,"2019-09-08","2019-09-28",21
A82028,"2019-04-21","2019-05-04",14
A82033,"2019-04-21","2019-05-04",14
A82053,"2019-04-21","2019-05-04",14
A82055,"2019-04-21","2019-05-04",14
A82062,"2019-06-30","2019-07-06",7
A82064,"2019-04-01","2019-04-06",6
A82065,"2019-04-21","2019-05-04",14
A82070,"2019-04-21","2019-05-04",14
A82072,"2019-06-30","2019-07-06",7
A82613,"2019-05-19","2019-06-01",14
A82629,"2019-04-21","2019-05-04",14
A83014,"2019-04-01","2019-05-18",48
A83024,"2019-04-01","2019-04-06",6
A83036,"2019-06-30","2019-07-06",7
A83041,"2019-06-30","2019-09-30",52
A83049,"2019-05-25","2019-08-17",85
A83050,"2019-04-01","2019-05-11",41
A83075,"2019-08-17","2019-09-30",45
A83632,"2019-04-01","2019-06-01",62
A84009,"2019-09-22","2019-09-28",7
A84011,"2019-09-22","2019-09-28",7
A84024,"2019-09-08","2019-09-28",21
A84037,"2019-04-01","2019-06-01",62
A84039,"2019-04-01","2019-04-27",27
A85001,"2019-04-01","2019-04-06",6
A85003,"2019-09-08","2019-09-28",21
A85007,"2019-06-30","2019-07-06",7
A85008,"2019-06-30","2019-07-06",7
A85010,"2019-08-18","2019-08-24",7
A85013,"2019-09-08","2019-09-28",21
A85015,"2019-04-21","2019-05-04",14
A85016,"2019-09-08","2019-09-28",21
A85020,"2019-04-01","2019-04-06",6
A85021,"2019-09-08","2019-09-28",21
A85024,"2019-07-28","2019-08-03",7
A85611,"2019-09-22","2019-09-28",7
A86003,"2019-05-26","2019-06-08",14
A86007,"2019-07-28","2019-08-24",14
A86017,"2019-07-28","2019-08-24",14
A86021,"2019-05-19","2019-06-01",14
A86022,"2019-04-21","2019-05-04",14
A86029,"2019-04-21","2019-05-04",14
A86040,"2019-05-19","2019-06-01",14
