RequestorODS,month,"requestor_supplier","registration_count","retry_count","retry_rate"
A81001,04,TPP,19,0,0
A81001,05,TPP,32,0,0
A81001,06,TPP,31,0,0
A81001,07,TPP,42,0,0
A81001,08,TPP,31,0,0
A81002,04,TPP,48,0,0
A81002,05,TPP,38,0,0
A81002,06,TPP,67,1,"0.014925373134328358"
A81002,07,TPP,60,0,0
A81002,08,TPP,47,0,0
A81004,04,TPP,95,2,"0.021052631578947368"
A81004,05,TPP,77,0,0
A81004,06,TPP,72,0,0
A81004,07,TPP,92,2,"0.021739130434782608"
A81004,08,TPP,92,0,0
A81005,04,TPP,35,0,0
A81005,05,TPP,27,0,0
A81005,06,TPP,38,0,0
A81005,07,TPP,48,0,0
A81005,08,TPP,38,0,0
A81006,04,TPP,83,0,0
A81006,05,TPP,68,0,0
A81006,06,TPP,66,0,0
A81006,07,TPP,95,0,0
A81006,08,TPP,78,0,0
A81007,04,EMIS,43,15,"0.3488372093023256"
A81007,05,EMIS,32,13,"0.40625"
A81007,06,EMIS,58,19,"0.3275862068965517"
A81007,07,EMIS,57,24,"0.42105263157894735"
A81007,08,EMIS,27,7,"0.25925925925925924"
A81009,04,TPP,40,0,0
A81009,05,TPP,30,0,0
A81009,06,TPP,39,0,0
A81009,07,TPP,24,0,0
A81009,08,TPP,34,0,0
A81011,04,TPP,35,0,0
A81011,05,TPP,50,0,0
A81011,06,TPP,29,0,0
A81011,07,TPP,40,0,0
A81011,08,TPP,46,0,0
A81012,04,TPP,21,0,0
A81012,05,TPP,21,0,0
A81012,06,TPP,20,0,0
A81012,07,TPP,29,0,0
A81012,08,TPP,33,0,0
A81013,04,TPP,69,0,0
A81013,05,TPP,57,0,0
A81013,06,TPP,26,0,0
A81013,07,TPP,53,0,0
A81013,08,TPP,53,0,0
A81014,04,TPP,21,0,0
A81014,05,TPP,22,0,0
A81014,06,TPP,16,0,0
A81014,07,TPP,36,0,0
A81014,08,TPP,26,0,0
A81016,04,TPP,84,1,"0.011904761904761904"
A81016,05,TPP,61,1,"0.01639344262295082"
A81016,06,TPP,37,1,"0.02702702702702703"
A81016,07,TPP,137,0,0
A81016,08,TPP,63,2,"0.031746031746031744"
A81017,04,TPP,55,0,0
A81017,05,TPP,82,0,0
A81017,06,TPP,48,0,0
A81017,07,TPP,79,0,0
A81017,08,TPP,82,0,0
A81018,04,TPP,78,0,0
A81018,05,TPP,52,0,0
A81018,06,TPP,41,0,0
A81018,07,TPP,67,0,0
A81018,08,TPP,62,0,0
A81019,04,TPP,10,0,0
A81019,05,TPP,5,0,0
A81019,06,TPP,8,0,0
A81019,07,TPP,13,0,0
A81019,08,TPP,6,0,0
A81020,04,TPP,57,0,0
A81020,05,TPP,63,0,0
A81020,06,TPP,44,0,0
A81020,07,TPP,54,0,0
A81020,08,TPP,85,0,0
A81021,04,EMIS,47,17,"0.3617021276595745"
A81021,05,EMIS,52,20,"0.38461538461538464"
A81021,06,EMIS,56,15,"0.26785714285714285"
A81021,07,EMIS,70,16,"0.22857142857142856"
A81021,08,EMIS,69,22,"0.3188405797101449"
A81022,04,TPP,25,0,0
A81022,05,TPP,33,0,0
A81022,06,TPP,42,0,0
A81022,07,TPP,41,0,0
A81022,08,TPP,54,1,"0.018518518518518517"
A81023,04,TPP,21,0,0
A81023,05,TPP,26,0,0
A81023,06,TPP,26,0,0
A81023,07,TPP,14,0,0
A81023,08,TPP,63,0,0
A81025,04,TPP,29,0,0
A81025,05,TPP,19,0,0
A81025,06,TPP,35,0,0
A81025,07,TPP,30,0,0
A81025,08,TPP,33,0,0
A81026,04,TPP,105,0,0
A81026,05,TPP,90,0,0
A81026,06,TPP,109,0,0
A81026,07,TPP,128,2,"0.015625"
A81026,08,TPP,141,0,0
A81027,04,TPP,132,0,0
A81027,05,TPP,89,1,"0.011235955056179775"
A81027,06,TPP,80,0,0
A81027,07,TPP,155,3,"0.01935483870967742"
A81027,08,TPP,122,0,0
A81029,04,TPP,22,0,0
A81029,05,TPP,44,0,0
A81029,06,TPP,39,0,0
A81029,07,TPP,43,0,0
A81029,08,TPP,62,0,0
A81030,04,TPP,102,0,0
A81030,05,TPP,45,0,0
A81030,06,TPP,69,0,0
A81030,07,TPP,76,0,0
A81030,08,TPP,95,0,0
A81031,04,TPP,53,0,0
A81031,05,TPP,35,0,0
A81031,06,TPP,48,0,0
A81031,07,TPP,66,0,0
A81031,08,TPP,66,0,0
A81032,04,TPP,53,0,0
A81032,05,TPP,54,0,0
A81032,06,TPP,44,0,0
A81032,07,TPP,63,0,0
A81032,08,TPP,67,1,"0.014925373134328358"
A81034,04,TPP,113,0,0
A81034,05,TPP,129,1,"0.007751937984496124"
A81034,06,TPP,111,0,0
A81034,07,TPP,174,2,"0.011494252873563218"
A81034,08,TPP,137,0,0
A81035,04,EMIS,42,13,"0.30952380952380953"
A81035,05,EMIS,68,11,"0.16176470588235295"
A81035,06,EMIS,37,9,"0.24324324324324326"
A81035,07,EMIS,37,10,"0.2702702702702703"
A81035,08,EMIS,35,11,"0.3142857142857143"
A81036,04,TPP,90,0,0
A81036,05,TPP,91,0,0
A81036,06,TPP,84,0,0
A81036,07,TPP,93,0,0
A81036,08,TPP,101,1,"0.009900990099009901"
A81037,04,TPP,21,0,0
A81037,05,TPP,27,0,0
A81037,06,TPP,12,0,0
A81037,07,TPP,13,0,0
A81037,08,TPP,9,0,0
A81038,04,TPP,29,0,0
A81038,05,TPP,25,0,0
A81038,06,TPP,24,0,0
A81038,07,TPP,19,0,0
A81038,08,TPP,18,0,0
A81039,04,EMIS,58,16,"0.27586206896551724"
A81039,05,EMIS,57,18,"0.3157894736842105"
A81039,06,EMIS,71,14,"0.19718309859154928"
A81039,07,EMIS,118,36,"0.3050847457627119"
A81039,08,EMIS,65,23,"0.35384615384615387"
A81040,04,EMIS,57,28,"0.49122807017543857"
A81040,05,EMIS,51,12,"0.23529411764705882"
A81040,06,EMIS,35,8,"0.22857142857142856"
A81040,07,EMIS,49,11,"0.22448979591836735"
A81040,08,EMIS,26,15,"0.5769230769230769"
A81041,04,TPP,34,0,0
A81041,05,TPP,35,0,0
A81041,06,TPP,37,0,0
A81041,07,TPP,35,0,0
A81041,08,TPP,28,1,"0.03571428571428571"
A81042,04,TPP,84,0,0
A81042,05,TPP,56,0,0
A81042,06,TPP,60,0,0
A81042,07,TPP,100,0,0
A81042,08,TPP,59,0,0
A81043,04,EMIS,50,14,"0.28"
A81043,05,EMIS,31,3,"0.0967741935483871"
A81043,06,EMIS,30,6,"0.2"
